name,country,min_score_ib,min_score_ossd,tuition,admission_rate,majors,source_url
University of Oxford,United Kingdom,40,93,38000,17.5,Physics;Computer Science;Materials Science;Philosophy;Law;Medicine;Biochemistry;Mathematics,https://www.ox.ac.uk
University of Chile,Chile,32,80,5000,42.0,Medicine;Law;Engineering;Architecture;Science;Arts;Economics;Agriculture,https://www.uchile.cl
National Autonomous University of Mexico,Mexico,31,78,1500,45.0,Medicine;Law;Engineering;Architecture;Science;Arts;Economics;Philosophy,https://www.unam.mx
Monterrey Institute of Technology,Mexico,34,85,15000,30.0,Engineering;Business;Medicine;Architecture;Design;Biotechnology;Computer Science;Social Sciences,https://www.tec.mx
University of Buenos Aires,Argentina,32,80,2000,42.0,Medicine;Law;Engineering;Economics;Architecture;Psychology;Philosophy;Science,https://www.uba.ar
Indian Institute of Technology Bombay,India,38,91,3000,2.0,Engineering;Computer Science;Science;Design;Management;Physics;Chemistry;Mathematics,https://www.iitb.ac.in
Indian Institute of Technology Delhi,India,38,91,3000,2.5,Engineering;Computer Science;Science;Design;Management;Physics;Chemistry;Biotechnology,https://www.iitd.ac.in
Indian Institute of Science,India,39,92,2000,3.0,Science;Engineering;Biology;Physics;Chemistry;Materials Science;Computer Science;Mathematics,https://www.iisc.ac.in
name,country,min_score_ib,min_score_ossd,tuition,admission_rate,majors,source_url
Washington University in St. Louis,United States,38,91,62000,13.0,Medicine;Business;Law;Engineering;Social Work;Architecture;Art;Computer Science,https://www.wustl.edu
Emory University,United States,36,88,58000,15.6,Medicine;Business;Law;Public Health;Nursing;Theology;Liberal Arts;Chemistry,https://www.emory.edu
Georgetown University,United States,37,90,62000,14.4,International Relations;Law;Business;Medicine;Foreign Service;Linguistics;Government;Theology,https://www.georgetown.edu
University of North Carolina at Chapel Hill,United States,34,85,40000,23.0,Journalism;Business;Medicine;Pharmacy;Public Health;Law;Nursing;Information Science,https://www.unc.edu
University of Texas at Austin,United States,35,86,42000,31.0,Engineering;Computer Science;Business;Law;Architecture;Communications;Pharmacy;Geosciences,https://www.utexas.edu
University of Illinois Urbana-Champaign,United States,34,85,38000,45.0,Engineering;Computer Science;Business;Agriculture;Library Science;Physics;Chemistry;Accounting,https://www.illinois.edu
University of Florida,United States,33,84,30000,31.0,Engineering;Business;Medicine;Law;Agriculture;Journalism;Veterinary Medicine;Pharmacy,https://www.ufl.edu
Ohio State University,United States,32,82,35000,53.0,Medicine;Engineering;Business;Law;Veterinary Medicine;Nursing;Pharmacy;Agriculture,https://www.osu.edu
Penn State University,United States,32,82,40000,55.0,Engineering;Business;Agriculture;Meteorology;Education;Communications;Nursing;Information Science,https://www.psu.edu
Purdue University,United States,34,85,32000,53.0,Engineering;Agriculture;Computer Science;Aviation;Pharmacy;Veterinary Medicine;Business;Physics,https://www.purdue.edu
University of Minnesota Twin Cities,United States,32,82,36000,57.0,Medicine;Engineering;Business;Law;Psychology;Economics;Agriculture;Public Health,https://www.umn.edu
Indiana University Bloomington,United States,31,80,40000,80.0,Music;Business;Public Affairs;Journalism;Education;Informatics;Law;Arts,https://www.indiana.edu
University of Maryland College Park,United States,33,84,40000,45.0,Engineering;Computer Science;Business;Journalism;Public Policy;Criminology;Physics;Agriculture,https://www.umd.edu
University of Colorado Boulder,United States,32,82,42000,79.0,Aerospace Engineering;Physics;Environmental Science;Business;Music;Law;Psychology;Atmospheric Science,https://www.colorado.edu
University of Arizona,United States,30,78,38000,84.0,Astronomy;Optical Sciences;Agriculture;Mining Engineering;Anthropology;Nursing;Pharmacy;Business,https://www.arizona.edu
Arizona State University,United States,30,78,32000,88.0,Engineering;Business;Journalism;Sustainability;Design;Computer Science;Public Policy;Education,https://www.asu.edu
University of Pittsburgh,United States,33,84,40000,57.0,Medicine;Philosophy;Engineering;Business;Nursing;Pharmacy;Law;Information Science,https://www.pitt.edu
Tufts University,United States,37,90,62000,15.0,International Relations;Medicine;Veterinary Medicine;Engineering;Nutrition;Dental Medicine;Biology;Drama,https://www.tufts.edu
Boston College,United States,35,86,62000,24.0,Business;Nursing;Education;Theology;Law;Social Work;Philosophy;Economics,https://www.bc.edu
University of Rochester,United States,35,86,60000,34.0,Music;Medicine;Optics;Engineering;Business;Nursing;Political Science;Economics,https://www.rochester.edu
Case Western Reserve University,United States,35,86,56000,30.0,Medicine;Engineering;Nursing;Law;Biomedical Engineering;Management;Social Work;Dental Medicine,https://www.case.edu
Northeastern University,United States,34,85,58000,18.0,Computer Science;Engineering;Business;Health Sciences;Criminal Justice;Pharmacy;Journalism;International Affairs,https://www.northeastern.edu
Tulane University,United States,34,85,60000,13.0,Public Health;Business;Law;Architecture;Medicine;Social Work;Latin American Studies;Environmental Studies,https://www.tulane.edu
University of Miami,United States,33,84,56000,28.0,Marine Science;Music;Business;Medicine;Law;Communication;Engineering;Architecture,https://www.miami.edu
Wake Forest University,United States,35,86,60000,25.0,Business;Law;Medicine;Divinity;Biology;Computer Science;Communication;Economics,https://www.wfu.edu
University of California Irvine,United States,34,85,45000,30.0,Computer Science;Engineering;Medicine;Business;Criminology;Arts;Nursing;Pharmaceutical Sciences,https://www.uci.edu
University of California Santa Barbara,United States,34,85,45000,32.0,Physics;Materials Science;Engineering;Marine Biology;Environmental Studies;Economics;Communication;Geography,https://www.ucsb.edu
Rutgers University,United States,32,82,36000,61.0,Pharmacy;Engineering;Business;Medicine;Social Work;Library Science;Planning;Communication,https://www.rutgers.edu
Stony Brook University,United States,32,82,30000,44.0,Medicine;Marine Science;Computer Science;Engineering;Physics;Health Technology;Nursing;Journalism,https://www.stonybrook.edu
University of Massachusetts Amherst,United States,31,80,38000,58.0,Computer Science;Engineering;Linguistics;Hospitality;Polymer Science;Public Health;Nursing;Education,https://www.umass.edu
Virginia Tech,United States,33,84,35000,57.0,Engineering;Architecture;Agriculture;Business;Veterinary Medicine;Natural Resources;Computer Science;Design,https://www.vt.edu
Texas A&M University,United States,32,82,38000,63.0,Engineering;Agriculture;Veterinary Medicine;Business;Architecture;Geosciences;Nuclear Engineering;Marine Biology,https://www.tamu.edu
Michigan State University,United States,32,82,42000,72.0,Education;Supply Chain Management;Agriculture;Veterinary Medicine;Criminal Justice;Communication;Engineering;Hospitality,https://www.msu.edu
University of Iowa,United States,31,80,35000,84.0,Creative Writing;Medicine;Law;Business;Nursing;Pharmacy;Education;Health Sciences,https://www.uiowa.edu
University of Connecticut,United States,32,82,42000,50.0,Pharmacy;Business;Education;Engineering;Nursing;Puppetry;Physical Therapy;Marine Science,https://www.uconn.edu
Brandeis University,United States,35,86,60000,33.0,Social Policy;Neuroscience;International Studies;Business;Computer Science;Biology;Economics;Near Eastern Studies,https://www.brandeis.edu
Lehigh University,United States,33,84,58000,37.0,Engineering;Business;Computer Science;Design;Chemistry;International Relations;Physics;Mathematics,https://www.lehigh.edu
Rensselaer Polytechnic Institute,United States,34,85,58000,47.0,Engineering;Architecture;Computer Science;Game Design;Business;Physics;Biotechnology;Information Technology,https://www.rpi.edu
University of York,Canada,31,80,28000,62.0,Business;Law;Engineering;Health;Psychology;Computer Science;Fine Arts;Environmental Studies,https://www.yorku.ca
University of Victoria,Canada,32,82,26000,58.0,Ocean Sciences;Climate Studies;Engineering;Business;Law;Indigenous Studies;Computer Science;Public Health,https://www.uvic.ca
Carleton University,Canada,31,80,30000,65.0,Journalism;International Affairs;Engineering;Architecture;Public Policy;Computer Science;Business;Cognitive Science,https://www.carleton.ca
Concordia University,Canada,30,78,25000,70.0,Film;Business;Engineering;Fine Arts;Computer Science;Communications;Design;Psychology,https://www.concordia.ca
SOAS University of London,United Kingdom,35,86,24000,35.0,Asian Studies;African Studies;Law;Languages;Development Studies;Economics;Politics;Anthropology,https://www.soas.ac.uk
Heriot-Watt University,United Kingdom,32,80,22000,55.0,Engineering;Actuarial Science;Business;Petroleum Engineering;Textiles;Languages;Computer Science;Psychology,https://www.hw.ac.uk
University of Strathclyde,United Kingdom,33,82,24000,48.0,Engineering;Business;Pharmacy;Law;Architecture;Computer Science;Physics;Biomedical Engineering,https://www.strath.ac.uk
Cranfield University,United Kingdom,35,86,28000,40.0,Aerospace Engineering;Defence;Management;Manufacturing;Water Science;Energy;Logistics;Environmental Science,https://www.cranfield.ac.uk
Birkbeck University of London,United Kingdom,30,78,18000,65.0,Psychology;Law;Economics;Film;Journalism;Business;Geography;Politics,https://www.bbk.ac.uk
University of Stirling,United Kingdom,30,78,20000,62.0,Aquaculture;Environmental Science;Sports Studies;Film;Psychology;Business;Marketing;Education,https://www.stir.ac.uk
University of East Anglia,United Kingdom,33,82,24000,48.0,Creative Writing;Environmental Science;Medicine;Pharmacy;Film Studies;Development Studies;Climate Science;Art History,https://www.uea.ac.uk
Royal Veterinary College,United Kingdom,36,88,35000,28.0,Veterinary Medicine;Veterinary Nursing;Biological Sciences;Bioveterinary Sciences;Wildlife Biology;Zoology;Animal Behaviour,https://www.rvc.ac.uk
